timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731096569314,167,CARGA-1,200,OK,Thread Group 1-91,text,true,,2173,185,23,32,https://reqres.in/api/users?page=2,167,0,105
1731096511134,58381,CARGA,200,OK,Thread Group 1-75,text,true,,3150,370,22,31,https://reqres.in/api/users?page=2,57228,0,57157
1731096511134,57228,CARGA-0,301,Moved Permanently,Thread Group 1-75,text,true,,968,185,22,31,http://reqres.in/api/users?page=2,57228,0,57157
1731096568363,1152,CARGA-1,200,OK,Thread Group 1-75,text,true,,2182,185,22,31,https://reqres.in/api/users?page=2,1152,0,1099
1731096507134,63103,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-71,text,false,,2660,0,21,28,http://reqres.in/api/users?page=2,0,0,63103
1731096508135,63084,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-72,text,false,,2660,0,20,24,http://reqres.in/api/users?page=2,0,0,63084
1731096535134,37332,CARGA,200,OK,Thread Group 1-99,text,true,,3147,370,19,23,https://reqres.in/api/users?page=2,36180,0,36125
1731096535134,36180,CARGA-0,301,Moved Permanently,Thread Group 1-99,text,true,,966,185,19,23,http://reqres.in/api/users?page=2,36180,0,36125
1731096571315,1151,CARGA-1,200,OK,Thread Group 1-99,text,true,,2181,185,19,23,https://reqres.in/api/users?page=2,1151,0,1096
1731096515133,57333,CARGA,200,OK,Thread Group 1-79,text,true,,3156,370,19,23,https://reqres.in/api/users?page=2,42151,0,42099
1731096515133,42151,CARGA-0,301,Moved Permanently,Thread Group 1-79,text,true,,974,185,19,23,http://reqres.in/api/users?page=2,42151,0,42099
1731096557285,15181,CARGA-1,200,OK,Thread Group 1-79,text,true,,2182,185,19,23,https://reqres.in/api/users?page=2,15181,0,15126
1731096520134,52341,CARGA,200,OK,Thread Group 1-84,text,true,,3151,370,17,21,https://reqres.in/api/users?page=2,49180,0,49127
1731096520134,49180,CARGA-0,301,Moved Permanently,Thread Group 1-84,text,true,,970,185,17,21,http://reqres.in/api/users?page=2,49180,0,49127
1731096569314,3161,CARGA-1,200,OK,Thread Group 1-84,text,true,,2181,185,17,21,https://reqres.in/api/users?page=2,3161,0,3097
1731096528134,44347,CARGA,200,OK,Thread Group 1-92,text,true,,3148,370,16,20,https://reqres.in/api/users?page=2,43180,0,43125
1731096528134,43180,CARGA-0,301,Moved Permanently,Thread Group 1-92,text,true,,966,185,16,20,http://reqres.in/api/users?page=2,43180,0,43125
